500 43276
1 172 0.552385
1 169 0.671703
1 168 1.17049
1 166 0.949829
1 154 1.03835
1 146 1.16559
1 137 0.608555
1 132 1.21575
1 124 0.961451
1 122 1.70693
1 121 0.796913
1 120 0.585892
1 119 0.524205
1 118 0.661758
1 116 0.192641
1 115 0.735907
1 114 1.36001
1 113 1.22824
1 111 0.93495
1 110 0.727504
1 109 0.886879
1 108 1.12761
1 107 1.11256
1 105 1.14394
1 103 1.17351
1 102 0.91789
1 101 1.23168
1 100 1.18956
1 99 1.1028
1 98 0.768721
1 97 1.02962
1 93 1.07064
1 91 1.34023
1 89 1.20729
1 88 1.37097
1 87 1.58317
1 86 0.936578
1 85 0.908422
1 84 0.966301
1 83 0.310488
1 82 0.972108
1 80 0.899355
1 79 1.44736
1 78 1.14688
1 77 1.02184
1 76 0.768229
1 75 1.03814
1 73 1.36073
1 71 1.13604
1 70 1.47291
1 68 0.979022
1 67 0.43581
1 66 1.18051
1 65 0.767551
1 64 0.792057
1 63 1.11166
1 61 0.730949
1 60 0.83193
1 59 0.778893
1 58 1.0563
1 57 0.933889
1 56 1.49209
1 55 0.849232
1 54 1.04845
1 53 0.294869
1 51 0.577388
1 50 0.378803
1 49 0.818671
1 48 0.986022
1 47 1.04278
1 45 0.903886
1 44 1.01675
1 43 0.694904
1 42 1.48258
1 41 0.440477
1 40 1.18099
1 39 0.442613
1 38 1.0711
1 37 0.7739
1 35 1.15552
1 34 1.00737
1 33 1.19351
1 32 0.708074
1 31 0.684257
1 29 1.07805
1 28 0.986787
1 27 1.10477
1 24 0.978167
1 23 1.23275
1 21 0.788075
1 20 0.625884
1 18 0.691167
1 17 0.623276
1 16 0.819886
1 15 1.53884
1 14 0.924549
1 13 1.2275
1 12 1.18942
1 11 1.3438
1 8 0.439686
1 7 1.35414
1 6 0.823198
1 3 1.0522
2 498 0.860729
2 487 1.17859
2 485 1.14104
2 484 0.970762
2 481 0.994579
2 478 1.34954
2 473 0.946917
2 472 0.701095
2 464 0.8557
2 456 0.894647
2 452 1.22744
2 451 1.03016
2 442 1.20185
2 436 0.958604
2 435 1.35224
2 434 0.560376
2 431 0.921576
2 425 1.08213
2 424 1.13873
2 415 0.696733
2 408 1.15942
2 401 0.972255
2 397 0.679646
2 392 0.960977
2 388 1.29141
2 384 1.65834
2 378 1.2859
2 374 1.28381
2 371 0.609403
2 366 0.922297
2 364 0.669212
2 359 0.475976
2 353 0.00613022
2 346 0.822556
2 340 1.01674
2 338 0.94644
2 327 1.09734
2 321 0.803818
2 310 0.518474
2 301 1.1833
2 294 0.880376
2 293 0.996236
2 281 0.829011
2 280 1.23102
2 278 1.37779
2 267 0.86521
2 257 0.708222
2 254 0.859989
2 252 1.34161
2 249 0.422475
2 245 0.863965
2 227 0.859891
2 225 1.07439
2 217 0.896868
2 216 0.726982
2 214 1.1284
2 213 0.719313
2 211 0.885345
2 205 0.416882
2 202 0.961378
2 200 0.797735
2 198 0.841575
2 196 0.840748
2 191 0.684226
2 182 0.687413
2 181 1.05161
2 172 1.43621
2 163 0.921908
2 149 1.43538
2 136 1.18927
2 134 0.99423
2 127 1.16023
2 125 0.421053
2 124 0.417253
2 121 0.815187
2 120 1.53486
2 117 1.29922
2 116 1.29286
2 115 1.11755
2 114 1.13552
2 113 1.26384
2 111 1.11435
2 108 1.04333
2 107 0.805814
2 106 1.04365
2 105 1.17638
2 104 0.971658
2 101 0.602964
2 100 1.00841
2 98 1.30533
2 97 1.0655
2 96 1.12301
2 95 1.0438
2 94 1.62474
2 93 1.14472
2 92 1.22917
2 91 0.744797
2 90 0.905771
2 89 0.883737
2 87 0.47476
2 86 0.61524
2 85 1.30692
2 84 0.83066
2 83 1.10287
2 82 1.33985
2 80 1.0176
2 79 1.36732
2 78 1.15822
2 77 1.29472
2 76 1.08319
2 75 1.29601
2 74 1.30522
2 73 0.98756
2 71 1.43794
2 70 1.44788
2 69 1.17629
2 68 0.836152
2 67 0.442607
2 64 0.720685
2 62 0.723599
2 61 0.593548
2 60 1.08407
2 59 0.890559
2 56 0.984142
2 55 0.833478
2 54 0.824977
2 53 1.17438
2 52 1.57618
2 51 1.50351
2 50 0.732035
2 49 0.486272
2 48 0.900924
2 47 1.04769
2 44 0.686387
2 43 1.42615
2 41 0.645839
2 40 0.849549
2 39 0.946348
2 38 1.14439
2 37 0.80274
2 36 0.98985
2 35 1.53676
2 34 0.847016
2 33 1.01995
2 32 0.832689
2 31 1.05155
2 30 1.03526
2 29 0.915685
2 26 0.87502
2 25 1.24825
2 24 0.524027
2 22 1.31667
2 20 0.916842
2 19 0.553078
2 18 0.924273
2 16 1.24347
2 14 0.77453
2 13 0.966522
2 12 1.10126
2 11 1.04441
2 10 1.2708
2 9 0.971626
2 7 0.761428
2 4 0.963909
2 3 0.69035
3 499 0.0640881
3 497 1.44353
3 485 1.13516
3 477 0.551547
3 474 0.540601
3 467 0.994766
3 445 0.946591
3 432 0.979476
3 423 1.21138
3 411 0.610925
3 407 1.12812
3 393 0.527207
3 388 0.859878
3 382 0.722819
3 375 0.640107
3 374 0.605483
3 370 0.456668
3 366 0.5977
3 364 0.820833
3 363 1.05352
3 361 1.17535
3 360 1.06298
3 354 0.663646
3 348 1.26026
3 345 0.600283
3 344 1.50325
3 340 1.21211
3 336 1.0649
3 329 0.891456
3 323 1.32302
3 320 1.25584
3 318 0.780507
3 315 0.972478
3 307 1.19233
3 304 0.971595
3 302 1.6716
3 286 1.10859
3 281 1.47301
3 279 0.726269
3 255 1.23999
3 252 0.971415
3 251 0.906191
3 240 0.795785
3 235 1.02273
3 231 0.838001
3 217 1.2187
3 203 0.653929
3 202 0.893428
3 200 1.21479
3 199 1.33229
3 197 0.721889
3 191 0.65732
3 190 0.659875
3 181 0.650229
3 178 0.415808
3 177 0.597718
3 171 0.721115
3 169 0.981659
3 168 0.953686
3 161 0.742312
3 154 1.14272
3 149 0.897303
3 138 1.69952
3 135 0.778568
3 130 0.861441
3 125 1.1305
3 124 0.872646
3 122 0.891927
3 121 1.13877
3 119 0.950821
3 118 1.08408
3 117 0.88532
3 116 1.17145
3 115 0.836612
3 114 1.00008
3 113 0.85546
3 112 0.87345
3 111 0.865379
3 110 0.922548
3 109 1.28386
3 108 1.2475
3 107 0.864992
3 106 1.18009
3 104 1.04051
3 103 0.916515
3 102 0.594834
3 101 1.12992
3 100 0.836822
3 99 1.09399
3 98 0.867963
3 97 0.859133
3 95 1.4619
3 94 0.888832
3 93 0.947424
3 92 1.6877
3 89 1.09355
3 88 1.31074
3 87 1.34798
3 86 1.22109
3 85 0.86278
3 83 0.904987
3 82 1.18438
3 80 1.50714
3 79 0.949241
3 78 1.0348
3 77 0.697614
3 76 0.464151
3 75 0.755237
3 73 1.59516
3 72 0.918554
3 70 0.805219
3 69 1.20091
3 68 0.860692
3 67 1.13831
3 66 1.23227
3 65 0.463479
3 64 0.450232
3 63 0.49167
3 62 1.09178
3 60 1.16627
3 59 0.86367
3 58 1.03092
3 57 1.25484
3 56 1.49
3 54 1.01768
3 53 0.430904
3 52 1.19208
3 51 0.551043
3 50 0.977118
3 49 0.957472
3 47 0.859689
3 45 0.959898
3 44 1.22158
3 42 0.901041
3 41 1.09133
3 40 0.9556
3 39 1.23557
3 38 1.16004
3 37 0.962812
3 36 1.0129
3 35 0.669333
3 34 0.893214
3 33 0.46597
3 31 1.27749
3 30 0.828218
3 29 0.981521
3 28 0.866145
3 27 1.02471
3 26 1.0781
3 25 1.10437
3 23 1.11269
3 22 1.23828
3 21 0.58412
3 19 0.35447
3 18 1.08156
3 17 0.621526
3 15 0.886392
3 13 1.04144
3 12 1.01913
3 11 0.847587
3 10 0.946827
3 9 0.791407
3 8 0.755437
3 7 0.569866
3 6 1.12993
3 4 0.757046
4 491 1.12827
4 490 1.10199
4 487 0.597572
4 483 0.822221
4 475 1.08718
4 468 1.00565
4 467 0.871646
4 461 0.688123
4 447 1.14602
4 446 0.823423
4 444 0.681604
4 438 0.818624
4 430 0.629648
4 428 1.04808
4 426 0.872188
4 422 1.26522
4 420 0.760303
4 413 0.755423
4 404 0.420217
4 399 1.16092
4 392 0.938716
4 387 0.993313
4 386 0.832782
4 385 0.946742
4 376 0.823706
4 366 0.795265
4 365 1.18427
4 361 0.801279
4 354 1.64252
4 347 1.09826
4 345 1.2083
4 343 1.01314
4 325 1.21785
4 314 1.18011
4 312 1.21098
4 311 0.990731
4 310 1.06595
4 306 1.1144
4 298 0.607085
4 294 1.1174
4 293 0.936157
4 289 1.09384
4 286 0.91402
4 284 0.900441
4 278 0.935713
4 277 0.939647
4 272 1.06057
4 271 0.504
4 257 0.762219
4 255 1.53296
4 247 0.518874
4 245 0.864393
4 241 1.45826
4 239 1.14291
4 232 0.781869
4 222 1.31148
4 219 1.1277
4 212 0.984418
4 206 0.775248
4 199 1.6396
4 183 1.44255
4 176 0.888454
4 175 1.49204
4 174 0.459139
4 172 1.30168
4 163 1.30236
4 150 1.11792
4 144 1.06634
4 141 0.868895
4 138 1.5981
4 137 0.861636
4 135 0.797585
4 134 1.20999
4 133 0.92743
4 128 0.581204
4 124 0.717951
4 122 0.901883
4 121 1.57032
4 120 1.11759
4 119 0.793063
4 117 0.949659
4 116 0.540612
4 115 0.842877
4 114 1.33301
4 112 1.42991
4 111 1.25019
4 109 1.04333
4 108 0.949114
4 106 1.04941
4 105 0.509504
4 104 0.991357
4 103 1.06076
4 102 1.03587
4 101 1.23627
4 100 0.852051
4 99 1.02147
4 98 1.18101
4 97 0.723788
4 95 1.25922
4 94 0.933262
4 92 1.0529
4 90 1.05854
4 89 0.909663
4 88 1.07894
4 87 1.07168
4 86 0.784559
4 85 1.08013
4 84 1.19999
4 83 1.29905
4 82 0.672922
4 81 0.821672
4 79 1.32977
4 78 1.40241
4 77 1.11279
4 76 0.534554
4 75 0.764754
4 74 0.545059
4 73 0.665112
4 72 1.07882
4 70 0.217908
4 69 1.31213
4 67 0.765139
4 66 1.20953
4 65 1.24175
4 64 1.68963
4 63 1.07368
4 62 1.1656
4 61 1.01462
4 60 0.812372
4 59 0.435308
4 58 0.690804
4 57 0.290002
4 56 1.42853
4 55 1.15506
4 54 0.901809
4 52 1.64459
4 51 1.64773
4 50 1.13079
4 49 1.61046
4 48 0.533506
4 46 0.961202
4 45 1.12885
4 44 0.695763
4 43 1.14145
4 42 1.3919
4 41 1.71447
4 40 0.873513
4 39 1.08623
4 38 1.04541
4 37 1.20581
4 35 0.870343
4 34 1.32479
4 33 0.609815
4 32 1.28518
4 31 1.25504
4 27 1.22049
4 23 1.31714
4 22 0.472498
4 21 1.27963
4 19 1.00767
4 18 0.98752
4 17 1.41515
4 14 0.88821
4 13 1.85268
4 12 1.06269
4 11 0.942316
4 10 1.06612
4 9 1.02308
4 8 0.967233
4 7 0.750885
4 5 1.06316
5 477 1.31019
5 471 1.17162
5 469 1.08861
5 465 0.904854
5 462 1.10853
5 448 0.831241
5 445 1.31191
5 441 0.99267
5 436 1.28448
5 432 1.05848
5 420 0.984145
5 418 1.50696
5 413 1.05955
5 408 0.59965
5 404 0.952052
5 403 1.22247
5 400 1.1897
5 385 1.3412
5 384 1.06123
5 372 1.23127
5 371 1.04073
5 370 0.723338
5 349 0.639026
5 348 1.2623
5 334 1.04913
5 331 0.740381
5 324 1.05714
5 318 1.14099
5 313 0.876641
5 312 1.19679
5 310 1.27271
5 307 1.14997
5 303 0.930498
5 299 1.19551
5 293 0.635923
5 292 0.986339
5 286 0.938872
5 284 1.09886
5 280 1.13306
5 278 1.09587
5 273 0.672964
5 271 1.14626
5 264 1.02082
5 259 0.97686
5 257 0.590484
5 255 0.733604
5 250 1.047
5 245 0.840549
5 243 0.681215
5 236 0.819644
5 234 0.606936
5 223 0.927565
5 215 1.18247
5 213 1.25017
5 210 0.603143
5 206 1.18205
5 199 0.541504
5 195 0.809098
5 192 0.833524
5 191 0.980692
5 186 1.32553
5 176 1.11932
5 173 0.679976
5 172 0.815297
5 163 1.08691
5 155 1.31922
5 150 1.0598
5 149 0.666035
5 145 0.936481
5 140 0.834905
5 138 0.742146
5 134 0.811696
5 129 1.06819
5 126 0.891287
5 124 1.597
5 122 1.29715
5 121 1.48434
5 119 1.29572
5 117 1.29844
5 116 0.762261
5 115 1.06103
5 114 1.10122
5 113 0.808897
5 111 1.338
5 110 0.60062
5 109 1.12394
5 108 1.2401
5 107 1.06339
5 106 1.12248
5 103 1.42362
5 102 0.618669
5 100 1.29321
5 98 1.25938
5 97 1.18088
5 95 0.898142
5 93 0.803391
5 92 1.55216
5 91 0.587294
5 89 0.624984
5 88 0.991938
5 87 1.09962
5 85 1.31997
5 84 1.44188
5 83 0.885362
5 82 0.570144
5 80 1.40165
5 79 1.026
5 78 1.29996
5 77 1.54622
5 74 0.973252
5 73 0.930887
5 72 0.545803
5 71 0.586614
5 70 1.27506
5 69 1.07404
5 68 0.580945
5 67 1.41221
5 66 1.16318
5 65 1.1253
5 63 1.34777
5 62 1.16454
5 61 1.05596
5 58 0.698731
5 57 1.09893
5 56 1.24499
5 55 0.988301
5 53 0.897191
5 51 0.345191
5 50 0.981092
5 49 0.544611
5 48 1.33967
5 47 1.01796
5 46 1.25744
5 45 0.47803
5 44 0.540357
5 43 0.984898
5 42 0.718233
5 41 0.682892
5 39 0.966374
5 38 1.06456
5 37 0.635801
5 36 0.932224
5 34 1.39932
5 32 1.39877
5 31 1.05866
5 29 0.895162
5 28 1.21936
5 25 1.05338
5 24 0.881492
5 23 0.496389
5 22 0.579911
5 19 1.20261
5 17 0.722326
5 16 0.639795
5 15 0.996774
5 13 0.635123
5 12 1.18567
5 11 1.03779
5 9 1.17963
5 8 1.00243
5 7 0.972051
5 6 0.755029
6 494 1.55375
6 492 0.674473
6 487 0.695293
6 481 1.54318
6 477 1.10793
6 466 0.894436
6 465 0.788002
6 452 0.892911
6 442 0.634634
6 439 0.63836
6 420 1.00258
6 417 0.809247
6 411 0.719682
6 409 1.50319
6 407 1.01597
6 399 0.625313
6 395 0.828252
6 389 1.48961
6 384 0.933195
6 382 1.11688
6 377 0.792642
6 372 1.33272
6 367 0.944407
6 362 0.824974
6 361 0.60983
6 348 1.56824
6 344 0.895751
6 336 0.966635
6 335 1.30325
6 332 1.22307
6 331 1.00624
6 329 0.504814
6 327 1.09957
6 323 0.55407
6 320 1.3292
6 319 0.577729
6 317 1.21686
6 310 0.848157
6 309 0.740068
6 304 0.89549
6 298 1.58068
6 290 0.806133
6 288 1.20552
6 285 0.668789
6 280 0.917138
6 279 0.93258
6 276 0.975666
6 273 0.896749
6 270 0.257477
6 266 0.784743
6 261 0.669628
6 254 0.704446
6 242 1.3629
6 240 0.633319
6 239 0.795098
6 238 1.51061
6 229 0.670743
6 218 1.07923
6 216 0.757396
6 213 1.04633
6 212 0.883136
6 211 1.16043
6 200 1.18946
6 196 0.524757
6 193 1.17174
6 190 0.816883
6 187 0.824845
6 184 1.39037
6 171 1.32487
6 168 1.19813
6 164 0.827649
6 143 1.13544
6 142 0.667522
6 135 0.858135
6 129 1.07932
6 126 1.32836
6 124 1.68101
6 122 1.55513
6 121 0.768445
6 120 0.472714
6 119 0.88812
6 118 1.31718
6 117 1.32693
6 116 0.66245
6 114 1.05794
6 112 0.678012
6 111 1.3084
6 110 1.04665
6 109 1.32147
6 108 0.749194
6 106 1.17984
6 105 1.07431
6 104 1.28841
6 102 1.02473
6 101 0.973519
6 99 0.593149
6 98 0.927622
6 97 0.421493
6 96 0.982218
6 94 1.18751
6 91 0.571417
6 90 -0.156927
6 89 1.08671
6 88 0.572331
6 87 0.843575
6 85 1.70064
6 84 0.658247
6 83 0.528434
6 82 0.86036
6 81 0.956597
6 80 0.434375
6 78 0.872403
6 77 1.11827
6 76 1.33503
6 75 1.25658
6 74 0.769585
6 72 1.16108
6 70 0.886311
6 69 0.850221
6 67 1.2838
6 66 1.17108
6 65 0.638293
6 64 1.11804
6 63 0.850925
6 62 1.04833
6 60 0.913673
6 59 1.18694
6 58 1.43968
6 57 0.974828
6 56 0.682051
6 55 1.30355
6 54 0.944466
6 53 1.63624
6 52 0.589984
6 51 0.913275
6 50 1.21265
6 49 1.299
6 47 1.36422
6 46 0.72845
6 44 0.792138
6 43 1.19512
6 42 0.795943
6 41 0.939024
6 40 0.745761
6 39 0.468653
6 38 0.410151
6 37 0.691193
6 36 0.753932
6 35 0.843602
6 33 1.27065
6 32 0.818238
6 31 0.760658
6 30 0.580945
6 29 1.36921
6 27 0.881824
6 26 0.806224
6 24 1.64345
6 23 0.517211
6 21 0.900883
6 20 1.31535
6 19 1.14807
6 18 1.12895
6 17 1.33184
6 14 1.05038
6 13 0.511771
6 12 1.25708
6 11 0.920106
6 10 1.25023
6 8 0.953433
6 7 0.678635
7 490 0.834255
7 484 1.27787
7 466 1.30804
7 455 1.69831
7 451 1.13304
7 438 1.28812
7 433 0.870935
7 429 0.965009
7 426 0.556895
7 422 1.14822
7 411 0.858718
7 408 1.38608
7 393 1.31945
7 377 1.2844
7 373 1.07966
7 370 0.775055
7 368 1.08177
7 363 0.766475
7 361 0.929367
7 355 1.18018
7 344 0.989799
7 330 0.914055
7 323 0.385057
7 322 1.68432
7 321 0.765549
7 317 1.48849
7 307 1.27374
7 298 1.56445
7 291 0.926177
7 290 1.57402
7 286 0.95418
7 277 1.02192
7 276 1.27407
7 275 0.916225
7 274 1.12693
7 272 1.0459
7 266 0.570088
7 254 0.848518
7 253 0.844367
7 251 0.997865
7 246 1.21766
7 239 1.37477
7 236 0.831531
7 214 1.6874
7 206 0.41495
7 203 1.29412
7 198 1.12516
7 193 0.726025
7 188 1.1491
7 186 1.07077
7 176 0.986532
7 175 1.73983
7 171 1.24382
7 168 0.719216
7 153 0.762431
7 151 0.802526
7 150 0.550222
7 136 1.14266
7 134 1.27004
7 133 0.995739
7 132 1.11673
7 128 1.04675
7 126 0.996051
7 124 1.67107
7 123 1.24945
7 122 0.954967
7 121 0.636703
7 120 1.5448
7 119 1.7251
7 118 1.12495
7 116 0.553657
7 115 1.2303
7 114 0.740042
7 113 1.19142
7 111 1.08599
7 109 1.25816
7 107 1.45489
7 106 0.943976
7 103 1.21119
7 100 1.76409
7 99 1.30866
7 98 0.519538
7 96 0.783352
7 95 0.944346
7 93 0.923037
7 92 1.50763
7 91 1.05804
7 90 1.4382
7 89 1.00395
7 88 0.864869
7 87 0.723493
7 86 1.24132
7 85 0.661412
7 84 0.712916
7 83 0.967249
7 82 1.09254
7 81 1.13615
7 80 1.54279
7 79 1.40767
7 78 1.17563
7 77 1.2873
7 76 0.935311
7 75 1.16641
7 74 0.552007
7 73 1.04039
7 72 0.918837
7 70 1.28648
7 68 0.602898
7 67 0.706336
7 66 0.450498
7 65 0.948706
7 64 0.775376
7 63 1.5183
7 60 1.0367
7 57 0.790536
7 56 0.897783
7 55 0.586422
7 54 1.11796
7 53 1.08198
7 52 0.797139
7 51 0.831217
7 50 1.07449
7 48 1.49397
7 47 0.638845
7 46 1.09112
7 45 0.484185
7 44 0.778037
7 43 1.09831
7 42 0.891348
7 40 1.02872
7 39 1.01302
7 38 0.994748
7 37 1.22417
7 36 1.36022
7 35 0.686193
7 33 0.951057
7 32 1.28583
7 31 0.754362
7 30 0.47912
7 29 1.04508
7 28 1.41794
7 27 1.14338
7 26 0.599438
7 25 1.17141
7 24 1.41454
7 23 1.48016
7 22 0.846924
7 21 1.13724
7 20 1.04919
7 19 1.09054
7 17 0.918775
7 15 1.09837
7 14 0.302069
7 13 0.815908
7 11 0.895955
7 10 1.06579
7 9 0.910903
7 8 0.969275
8 498 0.945664
8 497 1.37279
8 491 0.852495
8 488 0.679417
8 475 0.796759
8 468 1.06578
8 466 0.948514
8 458 0.889698
8 441 1.34787
8 436 1.29504
8 435 0.787983
8 434 1.06277
8 433 0.781296
8 428 1.22456
8 420 1.32005
8 413 1.5655
8 412 1.61429
8 410 0.644328
8 409 0.664661
8 405 1.49957
8 404 0.926448
8 397 1.05033
8 381 1.50572
8 377 0.757115
8 374 0.758861
8 371 0.626945
8 369 0.765893
8 347 1.62104
8 339 1.11503
8 337 1.04746
8 336 1.52335
8 309 1.12502
8 303 0.888218
8 296 0.811691
8 294 0.718718
8 286 1.05355
8 285 1.17059
8 281 1.86615
8 278 0.920471
8 275 0.762236
8 269 1.50841
8 268 0.918766
8 266 1.38925
8 265 0.684362
8 259 1.0659
8 257 0.984142
8 244 0.820621
8 237 0.663488
8 236 1.09607
8 233 1.24863
8 229 1.32479
8 221 1.09138
8 220 0.688912
8 207 1.43274
8 200 0.746026
8 199 1.46208
8 195 1.41409
8 193 0.868003
8 184 0.550499
8 183 1.03535
8 179 1.00856
8 175 0.782336
8 173 1.13595
8 171 1.13088
8 170 1.27568
8 168 0.893636
8 163 1.23095
8 161 1.36626
8 158 1.06297
8 157 0.790105
8 151 1.20365
8 150 0.828165
8 146 0.873275
8 143 1.00559
8 129 1.50495
8 128 0.605803
8 122 1.06445
8 121 0.589589
8 119 1.12187
8 118 0.861182
8 117 1.27775
8 116 1.15926
8 115 0.759407
8 114 0.756168
8 113 1.19632
8 112 0.828753
8 111 1.27932
8 110 1.06126
8 109 0.69623
8 108 0.944588
8 106 1.21031
8 105 1.07397
8 104 1.22808
8 103 0.888252
8 102 0.825525
8 99 0.841914
8 98 0.948634
8 97 0.792071
8 95 0.826767
8 94 0.763282
8 93 0.795539
8 92 1.09508
8 91 1.40386
8 90 1.12422
8 88 0.932494
8 87 0.691218
8 85 1.26856
8 84 1.11296
8 82 1.18253
8 81 0.436832
8 80 1.18239
8 78 1.07903
8 77 1.30614
8 75 1.43027
8 73 0.420966
8 72 1.32422
8 71 1.03605
8 70 1.28582
8 69 1.32873
8 68 0.662775
8 66 0.726607
8 65 0.573308
8 64 0.721234
8 63 0.976993
8 61 0.872562
8 59 0.877496
8 58 0.770157
8 57 0.842666
8 56 1.21106
8 53 0.934432
8 52 0.822807
8 51 0.924836
8 50 1.27744
8 49 0.657705
8 48 1.49571
8 46 1.06787
8 45 1.02316
8 44 1.02537
8 43 1.08677
8 39 1.04671
8 38 1.30292
8 37 0.950799
8 36 0.971396
8 35 1.20352
8 34 0.659863
8 32 1.08976
8 31 0.649642
8 30 1.10981
8 29 1.46165
8 28 1.25837
8 27 1.0569
8 26 0.821272
8 24 0.466516
8 23 0.642177
8 22 0.673909
8 21 1.10149
8 17 1.8093
8 16 1.06368
8 15 1.0632
8 11 1.1149
8 10 0.444025
8 9 0.891796
9 494 1.36617
9 492 0.517769
9 491 1.18062
9 477 1.31564
9 470 1.34032
9 460 0.70964
9 455 0.832488
9 449 1.33317
9 438 0.948383
9 436 1.29142
9 433 0.632778
9 432 0.83577
9 421 1.38267
9 411 1.39742
9 406 0.831731
9 402 0.962474
9 397 1.67476
9 396 1.1121
9 391 1.0253
9 389 0.682499
9 381 0.918692
9 376 0.87995
9 375 0.326489
9 374 1.41023
9 372 1.19223
9 371 0.391613
9 370 0.755692
9 363 1.28406
9 362 0.911731
9 361 0.835637
9 357 1.53556
9 354 1.39247
9 340 1.03947
9 332 0.882471
9 327 1.32941
9 324 0.70799
9 320 1.1565
9 317 0.773096
9 307 1.18219
9 296 0.848362
9 295 0.890131
9 294 1.12404
9 293 1.47342
9 292 1.44282
9 291 1.24577
9 286 0.475588
9 283 0.747424
9 281 0.992518
9 279 1.11163
9 278 1.32271
9 276 1.01039
9 266 1.59404
9 263 1.17667
9 261 1.01621
